потому	deshalb, daher, weil	Зимой медведи обычно спят, {потому} что погода слишком холодная и нет еды.		Adverb	98	Russian	59315	Adverb
Лизаветина	Lizaveta	«{Лизаветина} работа», — подумал молодой человек.			98	Russian	60364	
стесненное	Zwangs-	но даже {стесненное} положение перестало в последнее время тяготить его.			98	Russian	55251	
ж	*	Что {ж} доля правды в этом есть.			98	Russian	59367	
denke	*	Ich {denke}, ihr habt zusammen Abendbrot gegessen.			98	Russian	59368	
über	*				98	Russian	59369	
Рось	Ros (Fluss)	Существует много версий того, почему государство было названо «Русь».Некоторые считают, что слово «Русь» образовалось от имени реки {Рось}, у берега которой жили славянские племена поляне.			98	Russian	59370	
Antwort	*				98	Russian	59371	
journalíßtka	*	журналистка (f) [{journalíßtka}]			98	Russian	59372	
земских	Zemskiys	Иван Грозный разделил население на опричников и {земских}.			98	Russian	59373	
возрождения	Auferstehung	Продвинутая технология ядра Blue позволила создать полноценный WYSIWYG редактор с возможностью добавления контрольных точек, мест {возрождения} и пополнения здоровья.			98	Russian	59374	
последнее	letzte	Кстати в {последнее} время эта цифра начала заметно смещаться на более старший возраст.			98	Russian	59375	
Дело	Geschäft	«{Дело} в том, что японцы очень боятся 'потерять лицо”», - говорит работник одного турагенства.			98	Russian	55839	
chudóschnik	*				98	Russian	59376	
ingynjéram	*				98	Russian	59377	
простенке	ausstrecken?	Мебель, вся очень старая и из желтого дерева, состояла из дивана с огромною выгнутою деревянною спинкой, круглого стола овальной формы перед диваном, туалета с зеркальцем в {простенке}, стульев по стенам да двух-трех грошовых картинок в желтых рамках, изображавших немецких барышень с птицами в руках, — вот и вся мебель.			98	Russian	60347	
такому	*	— Так вот-с… и опять, по {такому} же дельцу… — продолжал Раскольников, немного смутившись и удивляясь недоверчивости старухи.			98	Russian	60295	
Иван	Iwan	Ярким правителем был {Иван} IV Грозный.			98	Russian	59378	
сти	*				98	Russian	59379	
rabóta	*				98	Russian	59380	
деле	*	На самом {деле} развлекаться зимой в России любят не только дети, но и взрослые.			98	Russian	59381	
торого	*				98	Russian	59382	
никакого	?	Но останавливаться на лестнице, слушать всякий вздор про всю эту обыденную дребедень, до которой ему нет {никакого} дела, все эти приставания о платеже, угрозы, жалобы, и при этом самому изворачиваться, извиняться, лгать, — нет уж, лучше проскользнуть как-нибудь кошкой по лестнице и улизнуть, чтобы никто не видал.			98	Russian	55270	
prät	*	{prät}.			98	Russian	59383	
Денис	*				98	Russian	59384	
Race	*	MTA:San Andreas {Race}			98	Russian	59385	
sagt	*				98	Russian	59386	
ан	*	Никто таких не носит, за версту заметят, запомнят… главное, потом запомнят, {ан} и улика.			98	Russian	60084	
Наполеоном Бонапартом	Napoleon Bonaparte	Одной из них стала победа над {Наполеоном Бонапартом} в 1812 году.			98	Russian	59387	
SfugApJ	*				98	Russian	59388	
sánit	*	он занят [{sánit}]			98	Russian	59389	
kochen	*				98	Russian	59390	
Михаила	Michael	С 1985 года по 1991 в России происходит Перестройка под руководством {Михаила} Горбачева.			98	Russian	59391	
f	*				98	Russian	59392	
bank	*	банк (m) [{bank}]			98	Russian	59393	
durch	*				98	Russian	59394	
Grand	*	Multi Theft Auto (MTA) является модификацией для PC версий игры {Grand} Theft Auto:			98	Russian	59395	
sánity	*	мы / вы / они заняты [{sánity}]			98	Russian	59396	
Владлена	Vladlena	{Владлена} – одно из женских имен, возникших в период социализма.			98	Russian	59397	
Taste	*	Добро пожаловать на {Taste} of Russian, подкаст №2 «В баре».			98	Russian	59398	
чего	*	Улучшенная синхронизация предоставляет возможность использовать все анимации, персонажи, оружие и средства передвижения, но не предоставляет возможность вести контактный бой ввиду полной диссинхронизации стрельбы и положений игроков, плюс огромная задержка в обновлении позиций транспорта игроков, вследствие {чего} наблюдаются "лаги".			98	Russian	59399	
of	*				98	Russian	59400	
Питером	Peterom	родители называют же этот город «{Питером}».			98	Russian	59401	
Байкал	Baikal	Он находится недалеко от озера {Байкал}.			98	Russian	59402	
lecker	*				98	Russian	59403	
Фриден	"Frieden"	бы назвала город «{Фриден}», а потом опять «Миров», и снова			98	Russian	59404	
Мама	*				98	Russian	59405	
heißt	*				98	Russian	59406	
Канаэ	Name	12 февраля 2012 года он женился на красавице {Канаэ} Миахаре.			98	Russian	59407	
lútschschij	*	лучший (adj, m) [{lútschschij}]			98	Russian	59408	
journalíßtam	*				98	Russian	59409	
pl	*	продавцы ({pl}) [pradaftzý] – Verkäufer			98	Russian	59410	
Auto	*	Multi Theft {Auto} (MTA) является модификацией для PC версий игры Grand Theft {Auto}:			98	Russian	59411	
Гм	Hm	— {Гм}… да… всё в руках человека, и всё-то он мимо носу проносит, единственно от одной трусости… это уж аксиома… Любопытно, чего люди больше всего боятся?			98	Russian	55292	
Developer	*				98	Russian	59412	
этой	*				98	Russian	59413	
oder	*				98	Russian	59414	
nówym	*	новый проект ➜ над новым проектом [nad {nówym} prajéktam]			98	Russian	59415	
MTA	*	Multi Theft Auto ({MTA}) является модификацией для PC версий игры Grand Theft Auto:			98	Russian	59416	
fragen	*				98	Russian	59417	
Ярославль	Jaroslawl	{Ярославль}, Екатеринбург, Омск, Иркутск, Чита среди них.			98	Russian	59418	
''San	*	MTA Team первоначально планировала релиз 0.5.5 с исправлениями ошибок, новым стилем deathmatch для GTA Vice City и несколькими дополнениями к GTA3:MTA. Однако, они решили сосредоточить свои усилия над новым ядром, получившим кодовое имя «Blue», которое они использовали в версии ядра 1.x для {''San} Andreas''.			98	Russian	59419	
Multiplayer	*	Первый выход MTA состоялся 8 февраля 2003 года под именем MTA (GTA III Alternative {Multiplayer}).			98	Russian	59420	
Und	*				98	Russian	59421	
Ника	Nick	Недавно у {Ника} и Канаэ родился сын.			98	Russian	59422	
pißátil'	*				98	Russian	59423	
Andreas''	*	MTA Team первоначально планировала релиз 0.5.5 с исправлениями ошибок, новым стилем deathmatch для GTA Vice City и несколькими дополнениями к GTA3:MTA. Однако, они решили сосредоточить свои усилия над новым ядром, получившим кодовое имя «Blue», которое они использовали в версии ядра 1.x для ''San {Andreas''}.			98	Russian	59424	
Ирина	*				98	Russian	59425	
Lingq	*				98	Russian	59426	
a	*	«стол» по-английски “{a} table”.			98	Russian	59427	
произведения	*	Действительно, зимой русские окна выглядят, как {произведения} искусства.			98	Russian	59428	
сущности	*	Никакой хозяйки, в {сущности}, он не боялся, что бы та ни замышляла против него.			98	Russian	55260	
ßikritár'	*	секретарь (m) [{ßikritár'}]			98	Russian	59429	
Guten	*	– «Добрый вечер» по-немецки “{Guten} Abend”.			98	Russian	59430	
течение	Verlauf	San Andreas и основана на новом ядре, получившем кодовое имя «Blue», которое разрабатывалось в {течение} двух с половиной лет и продолжает развиваться.			98	Russian	59431	
Иркутск	Irkutsk	Ярославль, Екатеринбург, Омск, {Иркутск}, Чита среди них.			98	Russian	59432	
nicht	*				98	Russian	59433	
самою	*	Каморка его приходилась под {самою} кровлей высокого пятиэтажного дома и походила более на шкаф, чем на квартиру.			98	Russian	55201	
Должно	man soll	{Должно} быть, молодой человек взглянул на нее каким-нибудь особенным взглядом, потому что и в ее глазах мелькнула вдруг опять прежняя недоверчивость.			98	Russian	60269	
Светлана	*				98	Russian	59434	
Stop	*				98	Russian	59435	
Ильич	Ilyich	То же и с мужским именем Вилен, только теперь оно происходит от Владимир {Ильич} Ленин.			98	Russian	59436	
auch	*				98	Russian	59437	
pradaftzý	*	продавцы (pl) [{pradaftzý}] – Verkäufer			98	Russian	59438	
krúpnyj	*	крупный (adj, m) [{krúpnyj}]			98	Russian	59439	
хрущовки	'khruschevkas'	В России есть квартиры, которые обычно называют сталинки и {хрущовки}.			98	Russian	59440	
опричников	Opritschnik	Иван Грозный разделил население на {опричников} и земских.			98	Russian	59441	
циммермановская	Zimmermann's	Шляпа эта была высокая, круглая, {циммермановская}, но вся уже изношенная, совсем рыжая, вся в дырах и пятнах, без полей и самым безобразнейшим углом заломившаяся на сторону.			98	Russian	60047	
dass	*				98	Russian	59442	
PC	*	Multi Theft Auto (MTA) является модификацией для {PC} версий игры Grand Theft Auto:			98	Russian	59443	
часовых	Zeit-	Транссибирская магистраль пересекает 8 {часовых} поясов.			98	Russian	59444	
VC	*	История GTA3AM и MTA:{VC} ¶			98	Russian	59445	
Омск	Omsk	Ярославль, Екатеринбург, {Омск}, Иркутск, Чита среди них.			98	Russian	59446	
Wort	*				98	Russian	59447	
турист	*				98	Russian	59448	
м	*	В начале июля, в чрезвычайно жаркое время, под вечер, один молодой человек вышел из своей каморки, которую нанимал от жильцов в С — {м} переулке, на улицу и медленно, как бы в нерешимости, отправился к К — ну мосту.			98	Russian	55189	
заб	*	Что и никогда не {заб}….			98	Russian	59449	
stellen	*				98	Russian	59450	
lútschschije	*	лучшие (adj, pl) [{lútschschije}]			98	Russian	59451	
ingynér	*	инженер (m) [{ingynér}]			98	Russian	59452	
Вуйчич	*				98	Russian	59453	
вот-с	*	— Так {вот-с}… и опять, по такому же дельцу… — продолжал Раскольников, немного смутившись и удивляясь недоверчивости старухи.			98	Russian	60294	
part	*	занятый ({part}.			98	Russian	59454	
хрущевки	'khruschevkas'	Сталинки были построены во времена Сталина, а {хрущевки} – во времена Хрущева.			98	Russian	59455	
тем	um so, dadurch	Другое дело при встрече с иными знакомыми или с прежними товарищами, с которыми вообще он не любил встречаться… А между {тем}, когда один пьяный, которого неизвестно почему и куда провозили в это время по улице в огромной телеге, запряженной огромною ломовою лошадью, крикнул ему вдруг, проезжая:			98	Russian	60024	
Рюрик	Riurik	В этом году варяжский князь {Рюрик}, подчинивший себе позднее все русские земли, был приглашен править в Новгород.			98	Russian	59456	
онлайн	*	San Andreas, которая позволяет игрокам со всего мира играть друг с другом в режиме {онлайн}.			98	Russian	59457	
следовало	?	А за ней почему-то {следовало} жёлтое такси.			98	Russian	59458	
вследствие	*	Улучшенная синхронизация предоставляет возможность использовать все анимации, персонажи, оружие и средства передвижения, но не предоставляет возможность вести контактный бой ввиду полной диссинхронизации стрельбы и положений игроков, плюс огромная задержка в обновлении позиций транспорта игроков, {вследствие} чего наблюдаются "лаги".			98	Russian	59459	
преимуществу	Vorteil	Близость Сенной, обилие известных заведений и, по {преимуществу}, цеховое и ремесленное население, скученное в этих серединных петербургских улицах и переулках, пестрили иногда общую панораму такими субъектами, что странно было бы и удивляться при встрече с иною фигурой.			98	Russian	59994	
отношение	Einstellung, Haltung	Кстати, несмотря на такое {отношение} к зиме, среди русских принято поздравлять друг друга с первым снегом.			98	Russian	59460	
стремление	Drang, Begierede	Наверное, в какой-то степени это объясняет их {стремление} к коллективу.			98	Russian	59461	
чём	als	Итак, в {чём} разница между баней и обычной сауной?			98	Russian	59462	
ßikritarjóm	*	секретарь ➜ секретарём [{ßikritarjóm}]			98	Russian	59463	
With	*				98	Russian	59464	
pridprijátije	*	предприятие (n) [{pridprijátije}]			98	Russian	59465	
Ааа	*				98	Russian	59466	
n	*	предприятие ({n}) [pridprijátije]			98	Russian	59467	
Сергей	Sergej	– {Сергей} отсутствует в классе сегодня, он заболел.			98	Russian	59468	
x	*	Со временем Multi Theft Auto был значительно улучшен и теперь позволяет играть в GTA Vice City, а также в GTA III на ядре версий 0.{x} с поддержкой множества игроков и функций оригинальной игры.			98	Russian	59469	
ßabránije	*	собрание (n) [{ßabránije}]			98	Russian	59470	
Die	*				98	Russian	59471	
http	*				98	Russian	59472	
wörtlich	*				98	Russian	59473	
dem	*				98	Russian	59474	
San	*	{San} Andreas, которая позволяет игрокам со всего мира играть друг с другом в режиме онлайн.			98	Russian	59475	
Липтон	Lipton	Запить обед можно Кока Колой или чаем {Липтон}.			98	Russian	59476	
Preview	*				98	Russian	59477	
sanitá	*	она занята [{sanitá}]			98	Russian	59478	
сталинки	'stalinkas'	В России есть квартиры, которые обычно называют {сталинки} и хрущовки.			98	Russian	59479	
Internet	*				98	Russian	59480	
сложности	kompliziert	Поддержка Lua-сценариев позволяет создавать игровые режимы практически любой степени {сложности}.			98	Russian	59481	
journalíßt	*	журналист (m) [{journalíßt}]			98	Russian	59482	
andere	*				98	Russian	59483	
zwar	*				98	Russian	59484	
окончена	*	После того, как игра {окончена}, они все вместе и с шумом их разрушают.			98	Russian	59485	
krúpnaja	*	крупная (adj, f) [{krúpnaja}]			98	Russian	59486	
Антон	Anton	{Антон} начинает работать в 17 лет.			98	Russian	59487	
prajéktam	*				98	Russian	59488	
Ивана	Ivan	Причем теперь центром Русского государства стала Москва во многом благодаря хитроумной политике {Ивана} Калиты и других московских князей.			98	Russian	59489	
Вилен	Vilen	То же и с мужским именем {Вилен}, только теперь оно происходит от Владимир Ильич Ленин.		Name	98	Russian	59490	Name
Kann	*	{Kann} ich so sagen „в интернете“.			98	Russian	59491	
WYSIWYG	*				98	Russian	59492	
Substantiv	*	провести + {Substantiv} im Akkusativ			98	Russian	59493	
gespielt	*				98	Russian	59494	
Иосифа	Joseph	Всему миру известны имена лидеров Советского Союза Владимира Ленина, {Иосифа} Сталина, Никиты Хрущева, Леонида Брежнева.			98	Russian	59495	
Гарик	Garik	Хотя́ нет, и {Гарик}, и Анастасия родили́сь в Ленингра́де*, а			98	Russian	59496	
Брежнева	Breschnew	Всему миру известны имена лидеров Советского Союза Владимира Ленина, Иосифа Сталина, Никиты Хрущева, Леонида {Брежнева}.			98	Russian	59497	
Маша	*				98	Russian	59498	
схватился	*				98	Russian	60042	
kannst	*				98	Russian	59499	
Stimmt	*	{Stimmt} das?			98	Russian	59500	
Угу	*				98	Russian	59501	
лукаво	schelmisch?	Поэтому, не мудрствуя {лукаво}, предлагаю перейти сразу к примерам:			98	Russian	59502	
Рюриковичей	Rurikoviches	Для этого периода характерна борьба за власть, в итоге которой на смену династии {Рюриковичей} приходит династия Романовых.			98	Russian	59503	
Wo	*	({Wo}?) = Präpositiv			98	Russian	59504	
es	*				98	Russian	59505	
Multi	*	{Multi} Theft Auto (MTA) является модификацией для PC версий игры Grand Theft Auto:			98	Russian	59506	
том	*	Также возникает множество дискуссий о {том}, как следует регулировать деятельность транснациональных компаний, и о {том}, в какой степени государство имеет право в нее вмешиваться.			98	Russian	59507	
Team	*	MTA {Team} первоначально планировала релиз 0.5.5 с исправлениями ошибок, новым стилем deathmatch для GTA Vice City и несколькими дополнениями к GTA3:MTA. Однако, они решили сосредоточить свои усилия над новым ядром, получившим кодовое имя «Blue», которое они использовали в версии ядра 1.x для ''San Andreas''.			98	Russian	59508	
Чуня	*	{Чуня}!			98	Russian	59509	
nat	*				98	Russian	59510	
Regenschirm	*	Как по-русски „{Regenschirm}“?			98	Russian	59511	
выходя	werden?	По этой же причине мало кто сегодня в России, {выходя} замуж, оформляет брачный контракт.			98	Russian	59512	
Ich	*	{Ich} denke, ihr habt zusammen Abendbrot gegessen.			98	Russian	59513	
hast	*				98	Russian	59514	
Ко-ко-ко	*				98	Russian	59515	
самом	*	На {самом} деле развлекаться зимой в России любят не только дети, но и взрослые.			98	Russian	59516	
www	*				98	Russian	59517	
haben	*				98	Russian	59518	
diréktar	*	директор (m) [{diréktar}]			98	Russian	59519	
Раскольникова	Raskolnikov	«И тогда, стало быть, так же будет солнце светить!‥» — как бы невзначай мелькнуло в уме {Раскольникова}, и быстрым взглядом окинул он всё в комнате, чтобы по возможности изучить и запомнить расположение.			98	Russian	60328	
Геленджик	Gelendgik	Сочи, Анапа, {Геленджик} наиболее популярны.			98	Russian	59520	
weißt	*				98	Russian	59521	
b	*	MTA 0.3{b}			98	Russian	59522	
царе	König	Это я в этот последний месяц выучился болтать, лежа по целым суткам в углу и думая… о {царе} Горохе.			98	Russian	55310	
als	*				98	Russian	59523	
Земским	Zemskiys	{Земским} же приходилось терпеть все это на себе.			98	Russian	59524	
Akkusativ	*	провести + Substantiv im {Akkusativ}			98	Russian	59525	
pradaftzóm	*				98	Russian	59526	
Кругобайкальской	Krugobaikalny	Он посвящен труду строителей и завершению работ над {Кругобайкальской} железной дорогой.Другим интересным местом является вокзал на станции Новосибирск-Главный.			98	Russian	59527	
an	*				98	Russian	59528	
arbeiten	*	РАБОТАТЬ ({arbeiten}) + ГДЕ?			98	Russian	59529	
Wie	*				98	Russian	59530	
ßatrúdnik	*	сотрудник (m) [{ßatrúdnik}]			98	Russian	59531	
причине	Grund, Ursache	По этой же {причине} мало кто сегодня в России, выходя замуж, оформляет брачный контракт.			98	Russian	59532	
Кроме	zusätzlich	{Кроме} этого, они никогда не оставляют чаевые».			98	Russian	59533	
Дениса	*				98	Russian	59534	
Wir	*				98	Russian	59535	
API	*	Однако в последующих версиях тег Deathmatch был убран, так как игра позволяла передвигаться пешком и ездить на транспорте, к тому же для реализации режимов было добавлено скриптинговое {API} с использованием языка Lua.			98	Russian	59536	
Russisch	*				98	Russian	59537	
Вика	Vika (Name)	Вдруг она увидела другую девочку, которую звали {Вика}.			98	Russian	59538	
aber	*				98	Russian	59539	
XI-XIII	11. - 13.	{XI-XIII} века известны как период феодальной раздробленности на Руси.			98	Russian	59540	
multitheftauto	*				98	Russian	59541	
Виктор	Viktor (Name)	{Виктор} о своем новом доме.			98	Russian	59542	
Незадолго	*	{Незадолго} до выхода новой версии мультиплеера был куплен домен http://multitheftauto.com			98	Russian	59543	
Vice	*	Со временем Multi Theft Auto был значительно улучшен и теперь позволяет играть в GTA {Vice} City, а также в GTA III на ядре версий 0.x с поддержкой множества игроков и функций оригинальной игры.			98	Russian	59544	
natschálnik	*	начальник (m) [{natschálnik}]			98	Russian	59545	
Blue	*	MTA Team первоначально планировала релиз 0.5.5 с исправлениями ошибок, новым стилем deathmatch для GTA Vice City и несколькими дополнениями к GTA3:MTA. Однако, они решили сосредоточить свои усилия над новым ядром, получившим кодовое имя «{Blue}», которое они использовали в версии ядра 1.x для ''San Andreas''.			98	Russian	59546	
Петр	Peter	Большой вклад в развитие России внес {Петр} I Великий.			98	Russian	59547	
Леонида	Leonid	Всему миру известны имена лидеров Советского Союза Владимира Ленина, Иосифа Сталина, Никиты Хрущева, {Леонида} Брежнева.			98	Russian	59548	
so	*				98	Russian	59549	
единое	?	Зачастую русские люди не ассоциируют себя и свое правительство как {единое} целое.			98	Russian	59550	
сталинках	'stalinkas'	В {сталинках} вы увидите просторные комнаты, длинные коридоры и высокие потолки.			98	Russian	59551	
полной	voll?	Улучшенная синхронизация предоставляет возможность использовать все анимации, персонажи, оружие и средства передвижения, но не предоставляет возможность вести контактный бой ввиду {полной} диссинхронизации стрельбы и положений игроков, плюс огромная задержка в обновлении позиций транспорта игроков, вследствие чего наблюдаются "лаги".			98	Russian	59552	
g	*				98	Russian	59553	
XIII-XVI	13. - 16.	Позднее в {XIII-XVI} происходила централизация Руси.			98	Russian	59554	
Киев	Kiew	Первоначально, центром России был город {Киев}, который сейчас является столицей Украины.			98	Russian	59555	
City	*	Со временем Multi Theft Auto был значительно улучшен и теперь позволяет играть в GTA Vice {City}, а также в GTA III на ядре версий 0.x с поддержкой множества игроков и функций оригинальной игры.			98	Russian	59556	
судорожно	*	«Эй ты, немецкий шляпник!» — и заорал во всё горло, указывая на него рукой, — молодой человек вдруг остановился и {судорожно} схватился за свою шляпу.			98	Russian	60041	
habt	*	Ich denke, ihr {habt} zusammen Abendbrot gegessen.			98	Russian	59557	
По-ро-ся-та	*				98	Russian	59558	
einfach	*				98	Russian	59559	
bedeutet	*				98	Russian	59560	
хозяевам	Besitzer	С собой принято привозить подарки {хозяевам} дома.Родственники обязательно собираются за широким столом, заполненным разными блюдами.			98	Russian	59561	
Романовых	Romanow	Для этого периода характерна борьба за власть, в итоге которой на смену династии Рюриковичей приходит династия {Романовых}.			98	Russian	59562	
krúpnaj	*	в крупной авиакомпании [f {krúpnaj} awiakampánii]			98	Russian	59563	
замуж	heiraten	По этой же причине мало кто сегодня в России, выходя {замуж}, оформляет брачный контракт.			98	Russian	59564	
третьим	*				98	Russian	59565	
Новгород	Nowgorod	В этом году варяжский князь Рюрик, подчинивший себе позднее все русские земли, был приглашен править в {Новгород}.			98	Russian	59566	
Амурского	Amor(See)	Кроме того, 40 километров дороги идут вдоль {Амурского} Залива Японского моря.			98	Russian	59567	
Миахаре	*	12 февраля 2012 года он женился на красавице Канаэ {Миахаре}.			98	Russian	59568	
Wenn	*				98	Russian	59569	
dann	*				98	Russian	59570	
Мурзя	*	Послушай, {Мурзя}!			98	Russian	59571	
Verkäufer	*	продавцы (pl) [pradaftzý] – {Verkäufer}			98	Russian	59572	
III	*	Первый выход MTA состоялся 8 февраля 2003 года под именем MTA (GTA {III} Alternative Multiplayer).			98	Russian	59573	
Енисей	JEnissej	Например, Волгу, Обь, Иртыш, {Енисей}, Амур и многие другие.			98	Russian	59574	
Сочи	Sochi	{Сочи}, Анапа, Геленджик наиболее популярны.			98	Russian	59575	
im	*				98	Russian	59576	
Таким	*	{Таким} образом, за один год подготавливали по 670 километров.			98	Russian	59577	
Оймякон	*	Самое холодное место в мире – это русская деревня {Оймякон}.		Ortsname	98	Russian	59578	Ortsname
-	*	хорошо {-} хорошая			98	Russian	59579	
окинул	werfen	«И тогда, стало быть, так же будет солнце светить!‥» — как бы невзначай мелькнуло в уме Раскольникова, и быстрым взглядом {окинул} он всё в комнате, чтобы по возможности изучить и запомнить расположение.			98	Russian	60330	
ist	*				98	Russian	59580	
Горбачева	Gorbatschow	С 1985 года по 1991 в России происходит Перестройка под руководством Михаила {Горбачева}.			98	Russian	59581	
сю	*	«Если о {сю} пору я так боюсь, что же было бы, если б и действительно как-нибудь случилось до самого дела дойти?‥» — подумал он невольно, проходя в четвертый этаж.			98	Russian	60167	
verstehst	*				98	Russian	59582	
auf	*				98	Russian	59583	
awiakampánii	*	в крупной авиакомпании [f krúpnaj {awiakampánii}]			98	Russian	59584	
Даздраперма	Dazdraperma	Часто в качестве примера приводят еще и женское имя {Даздраперма}.			98	Russian	59585	
Computer	*				98	Russian	59586	
pradawétz	*	продавец (m) [{pradawétz}]			98	Russian	59587	
zubereiten	*				98	Russian	59588	
also	*				98	Russian	59589	
Ник	*				98	Russian	59590	
Frage	*				98	Russian	59591	
m	*				98	Russian	59592	
Präpositiv	*	(Wo?) = {Präpositiv}			98	Russian	59593	
table	*				98	Russian	59594	
разу	mal	«Это у злых и старых вдовиц бывает такая чистота», — продолжал про себя Раскольников и с любопытством покосился на ситцевую занавеску перед дверью во вторую, крошечную комнатку, где стояли старухины постель и комод и куда он еще ни {разу} не заглядывал.			98	Russian	60380	
Russian	*				98	Russian	59595	
SCM	*				98	Russian	59596	
passiv	*	{passiv}, m) [sánityj]			98	Russian	59597	
Alternative	*	Первый выход MTA состоялся 8 февраля 2003 года под именем MTA (GTA III {Alternative} Multiplayer).			98	Russian	59598	
Слюдянка-	Sludianka	Это железнодорожный вокзал {Слюдянка-}1.			98	Russian	59599	
Theft	*	Multi {Theft} Auto (MTA) является модификацией для PC версий игры Grand {Theft} Auto:			98	Russian	59600	
версту	*	Никто таких не носит, за {версту} заметят, запомнят… главное, потом запомнят, ан и улика.			98	Russian	60079	
Калиты	Katila	Причем теперь центром Русского государства стала Москва во многом благодаря хитроумной политике Ивана {Калиты} и других московских князей.			98	Russian	59601	
gemacht	*				98	Russian	59602	
PlayStation	*	У моего друга есть игровая приставка {PlayStation} 4, так что мы часто собираемся у него и играем в видеоигры.			98	Russian	59603	
Максим	*	Я сейчас очень занята, {Максим}.			98	Russian	59604	
XX	20.	Важным поворотом в российской истории стали Революции {XX} века, захват власти и переход к социализму.			98	Russian	59605	
GNU	*				98	Russian	59606	
